"outcome","treated_iso3c","placebo_iso3c","success","error_message"
"trade_openness","COG","BOL",TRUE,NA
"trade_openness","COG","BWA",TRUE,NA
"trade_openness","COG","CPV",TRUE,NA
"trade_openness","COG","ECU",TRUE,NA
"trade_openness","COG","MUS",TRUE,NA
"trade_openness","COG","MAR",TRUE,NA
"trade_openness","COG","NAM",TRUE,NA
"trade_openness","COG","SYC",TRUE,NA
"trade_openness","COG","IRQ",TRUE,NA
"trade_openness","GAB","BGD",TRUE,NA
"trade_openness","GAB","BTN",TRUE,NA
"trade_openness","GAB","BOL",TRUE,NA
"trade_openness","GAB","BWA",TRUE,NA
"trade_openness","GAB","CPV",TRUE,NA
"trade_openness","GAB","ECU",TRUE,NA
"trade_openness","GAB","MUS",TRUE,NA
"trade_openness","GAB","MAR",TRUE,NA
"trade_openness","GAB","NAM",TRUE,NA
"trade_openness","GAB","SYC",TRUE,NA
"trade_openness","GAB","IRQ",TRUE,NA
"trade_openness","GNQ","BGD",TRUE,NA
"trade_openness","GNQ","BTN",TRUE,NA
"trade_openness","GNQ","BOL",TRUE,NA
"trade_openness","GNQ","BWA",TRUE,NA
"trade_openness","GNQ","CPV",TRUE,NA
"trade_openness","GNQ","ECU",TRUE,NA
"trade_openness","GNQ","MUS",TRUE,NA
"trade_openness","GNQ","MAR",TRUE,NA
"trade_openness","GNQ","NAM",TRUE,NA
"trade_openness","GNQ","SYC",TRUE,NA
"trade_openness","GNQ","IRQ",TRUE,NA
"exports_gdp","BEN","BGD",TRUE,NA
"exports_gdp","BEN","BTN",TRUE,NA
"exports_gdp","BEN","BOL",TRUE,NA
"exports_gdp","BEN","BWA",TRUE,NA
"exports_gdp","BEN","CPV",TRUE,NA
"exports_gdp","BEN","ECU",TRUE,NA
"exports_gdp","BEN","MUS",TRUE,NA
"exports_gdp","BEN","MAR",TRUE,NA
"exports_gdp","BEN","NAM",TRUE,NA
"exports_gdp","BEN","SYC",TRUE,NA
"exports_gdp","BEN","IRQ",TRUE,NA
"exports_gdp","BFA","BGD",TRUE,NA
"exports_gdp","BFA","BTN",TRUE,NA
"exports_gdp","BFA","BOL",TRUE,NA
"exports_gdp","BFA","BWA",TRUE,NA
"exports_gdp","BFA","CPV",TRUE,NA
"exports_gdp","BFA","ECU",TRUE,NA
"exports_gdp","BFA","MUS",TRUE,NA
"exports_gdp","BFA","MAR",TRUE,NA
"exports_gdp","BFA","NAM",TRUE,NA
"exports_gdp","BFA","SYC",TRUE,NA
"exports_gdp","BFA","IRQ",TRUE,NA
"exports_gdp","CIV","BGD",TRUE,NA
"exports_gdp","CIV","BTN",TRUE,NA
"exports_gdp","CIV","BOL",TRUE,NA
"exports_gdp","CIV","BWA",TRUE,NA
"exports_gdp","CIV","CPV",TRUE,NA
"exports_gdp","CIV","ECU",TRUE,NA
"exports_gdp","CIV","MUS",TRUE,NA
"exports_gdp","CIV","MAR",TRUE,NA
"exports_gdp","CIV","NAM",TRUE,NA
"exports_gdp","CIV","SYC",TRUE,NA
"exports_gdp","CIV","IRQ",TRUE,NA
"exports_gdp","MLI","BGD",TRUE,NA
"exports_gdp","MLI","BTN",TRUE,NA
"exports_gdp","MLI","BOL",TRUE,NA
"exports_gdp","MLI","BWA",TRUE,NA
"exports_gdp","MLI","CPV",TRUE,NA
"exports_gdp","MLI","ECU",TRUE,NA
"exports_gdp","MLI","MUS",TRUE,NA
"exports_gdp","MLI","MAR",TRUE,NA
"exports_gdp","MLI","NAM",TRUE,NA
"exports_gdp","MLI","SYC",TRUE,NA
"exports_gdp","MLI","IRQ",TRUE,NA
"exports_gdp","NER","BGD",TRUE,NA
"exports_gdp","NER","BTN",TRUE,NA
"exports_gdp","NER","BOL",TRUE,NA
"exports_gdp","NER","BWA",TRUE,NA
"exports_gdp","NER","CPV",TRUE,NA
"exports_gdp","NER","ECU",TRUE,NA
"exports_gdp","NER","MUS",TRUE,NA
"exports_gdp","NER","MAR",TRUE,NA
"exports_gdp","NER","NAM",TRUE,NA
"exports_gdp","NER","SYC",TRUE,NA
"exports_gdp","NER","IRQ",TRUE,NA
"exports_gdp","SEN","BGD",TRUE,NA
"exports_gdp","SEN","BTN",TRUE,NA
"exports_gdp","SEN","BOL",TRUE,NA
"exports_gdp","SEN","BWA",TRUE,NA
"exports_gdp","SEN","CPV",TRUE,NA
"exports_gdp","SEN","ECU",TRUE,NA
"exports_gdp","SEN","MUS",TRUE,NA
"exports_gdp","SEN","MAR",TRUE,NA
"exports_gdp","SEN","NAM",TRUE,NA
"exports_gdp","SEN","SYC",TRUE,NA
"exports_gdp","SEN","IRQ",TRUE,NA
"exports_gdp","TGO","BGD",TRUE,NA
"exports_gdp","TGO","BTN",TRUE,NA
"exports_gdp","TGO","BOL",TRUE,NA
"exports_gdp","TGO","BWA",TRUE,NA
"exports_gdp","TGO","CPV",TRUE,NA
"exports_gdp","TGO","ECU",TRUE,NA
"exports_gdp","TGO","MUS",TRUE,NA
"exports_gdp","TGO","MAR",TRUE,NA
"exports_gdp","TGO","NAM",TRUE,NA
"exports_gdp","TGO","SYC",TRUE,NA
"exports_gdp","TGO","IRQ",TRUE,NA
"exports_gdp","CMR","BGD",TRUE,NA
"exports_gdp","CMR","BTN",TRUE,NA
"exports_gdp","CMR","BOL",TRUE,NA
"exports_gdp","CMR","BWA",TRUE,NA
"exports_gdp","CMR","CPV",TRUE,NA
"exports_gdp","CMR","ECU",TRUE,NA
"exports_gdp","CMR","MUS",TRUE,NA
"exports_gdp","CMR","MAR",TRUE,NA
"exports_gdp","CMR","NAM",TRUE,NA
"exports_gdp","CMR","SYC",TRUE,NA
"exports_gdp","CMR","IRQ",TRUE,NA
"exports_gdp","CAF","BGD",TRUE,NA
"exports_gdp","CAF","BTN",TRUE,NA
"exports_gdp","CAF","BOL",TRUE,NA
"exports_gdp","CAF","BWA",TRUE,NA
"exports_gdp","CAF","CPV",TRUE,NA
"exports_gdp","CAF","ECU",TRUE,NA
"exports_gdp","CAF","MUS",TRUE,NA
"exports_gdp","CAF","MAR",TRUE,NA
"exports_gdp","CAF","NAM",TRUE,NA
"exports_gdp","CAF","SYC",TRUE,NA
"exports_gdp","CAF","IRQ",TRUE,NA
"exports_gdp","TCD","BGD",TRUE,NA
"exports_gdp","TCD","BTN",TRUE,NA
"exports_gdp","TCD","BOL",TRUE,NA
"exports_gdp","TCD","BWA",TRUE,NA
"exports_gdp","TCD","CPV",TRUE,NA
"exports_gdp","TCD","ECU",TRUE,NA
"exports_gdp","TCD","MUS",TRUE,NA
"exports_gdp","TCD","MAR",TRUE,NA
"exports_gdp","TCD","NAM",TRUE,NA
"exports_gdp","TCD","SYC",TRUE,NA
"exports_gdp","TCD","IRQ",TRUE,NA
"exports_gdp","COG","BGD",TRUE,NA
"exports_gdp","COG","BTN",TRUE,NA
"exports_gdp","COG","BOL",TRUE,NA
"exports_gdp","COG","BWA",TRUE,NA
"exports_gdp","COG","CPV",TRUE,NA
"exports_gdp","COG","ECU",TRUE,NA
"exports_gdp","COG","MUS",TRUE,NA
"exports_gdp","COG","MAR",TRUE,NA
"exports_gdp","COG","NAM",TRUE,NA
"exports_gdp","COG","SYC",TRUE,NA
"exports_gdp","COG","IRQ",TRUE,NA
"exports_gdp","GAB","BGD",TRUE,NA
"exports_gdp","GAB","BTN",TRUE,NA
"exports_gdp","GAB","BOL",TRUE,NA
"exports_gdp","GAB","BWA",TRUE,NA
"exports_gdp","GAB","CPV",TRUE,NA
"exports_gdp","GAB","ECU",TRUE,NA
"exports_gdp","GAB","MUS",TRUE,NA
"exports_gdp","GAB","MAR",TRUE,NA
"exports_gdp","GAB","NAM",TRUE,NA
"exports_gdp","GAB","SYC",TRUE,NA
"exports_gdp","GAB","IRQ",TRUE,NA
"exports_gdp","GNQ","BGD",TRUE,NA
"exports_gdp","GNQ","BTN",TRUE,NA
"exports_gdp","GNQ","BOL",TRUE,NA
"exports_gdp","GNQ","BWA",TRUE,NA
"exports_gdp","GNQ","CPV",TRUE,NA
"exports_gdp","GNQ","ECU",TRUE,NA
"exports_gdp","GNQ","MUS",TRUE,NA
"exports_gdp","GNQ","MAR",TRUE,NA
"exports_gdp","GNQ","NAM",TRUE,NA
"exports_gdp","GNQ","SYC",TRUE,NA
