"iso3c","country","outcome","n_years","n_missing","n_missing_pre","n_missing_post","first_non_missing_year","last_non_missing_year","group"
"IRQ","Iraq","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"KNA","St. Kitts and Nevis","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"LAO","Lao PDR","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"LCA","St. Lucia","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"LSO","Lesotho","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"MAR","Morocco","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"MUS","Mauritius","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"NAM","Namibia","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"SWZ","Eswatini","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"SYC","Seychelles","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"TKM","Turkmenistan","imports_gdp",40,0,0,0,1980,2019,"Donor pool"
"AGO","Angola","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"BDI","Burundi","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"COD","Congo, Dem. Rep.","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"ETH","Ethiopia","imports_gdp",41,0,0,0,1980,2019,"Non-donor comparison"
"GHA","Ghana","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"GIN","Guinea","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"GMB","Gambia, The","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"KEN","Kenya","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"MDG","Madagascar","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"MWI","Malawi","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"NGA","Nigeria","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"SDN","Sudan","imports_gdp",41,0,0,0,1980,2019,"Non-donor comparison"
"SLE","Sierra Leone","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"STP","Sao Tome and Principe","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"TZA","Tanzania","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"UGA","Uganda","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"ZMB","Zambia","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"ZWE","Zimbabwe","imports_gdp",40,0,0,0,1980,2019,"Non-donor comparison"
"BEN","Benin","imports_gdp",40,0,0,0,1980,2019,"WAEMU"
"BFA","Burkina Faso","imports_gdp",40,0,0,0,1980,2019,"WAEMU"
"CIV","Côte d'Ivoire","imports_gdp",40,0,0,0,1980,2019,"WAEMU"
"MLI","Mali","imports_gdp",40,0,0,0,1980,2019,"WAEMU"
"NER","Niger","imports_gdp",40,0,0,0,1980,2019,"WAEMU"
"SEN","Senegal","imports_gdp",40,0,0,0,1980,2019,"WAEMU"
"TGO","Togo","imports_gdp",40,0,0,0,1980,2019,"WAEMU"
"CAF","Central African Republic","trade_openness",40,0,0,0,1980,2019,"CAEMC"
"CMR","Cameroon","trade_openness",40,0,0,0,1980,2019,"CAEMC"
"COG","Republic of Congo","trade_openness",40,0,0,0,1980,2019,"CAEMC"
"GAB","Gabon","trade_openness",40,0,0,0,1980,2019,"CAEMC"
"GNQ","Equatorial Guinea","trade_openness",40,0,0,0,1980,2019,"CAEMC"
"TCD","Chad","trade_openness",40,0,0,0,1980,2019,"CAEMC"
"BGD","Bangladesh","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"BOL","Bolivia","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"BRB","Barbados","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"BTN","Bhutan","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"BWA","Botswana","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"CPV","Cabo Verde","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"DMA","Dominica","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"ECU","Ecuador","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"GRD","Grenada","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"GUY","Guyana","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"IRQ","Iraq","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"KNA","St. Kitts and Nevis","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"LAO","Lao PDR","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"LCA","St. Lucia","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"LSO","Lesotho","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"MAR","Morocco","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"MUS","Mauritius","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"NAM","Namibia","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"SWZ","Eswatini","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"SYC","Seychelles","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"TKM","Turkmenistan","trade_openness",40,0,0,0,1980,2019,"Donor pool"
"AGO","Angola","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"BDI","Burundi","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"COD","Congo, Dem. Rep.","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"ETH","Ethiopia","trade_openness",41,0,0,0,1980,2019,"Non-donor comparison"
"GHA","Ghana","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"GIN","Guinea","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"GMB","Gambia, The","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"KEN","Kenya","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"MDG","Madagascar","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"MWI","Malawi","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"NGA","Nigeria","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"SDN","Sudan","trade_openness",41,0,0,0,1980,2019,"Non-donor comparison"
"SLE","Sierra Leone","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"STP","Sao Tome and Principe","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"TZA","Tanzania","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"UGA","Uganda","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"ZMB","Zambia","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"ZWE","Zimbabwe","trade_openness",40,0,0,0,1980,2019,"Non-donor comparison"
"BEN","Benin","trade_openness",40,0,0,0,1980,2019,"WAEMU"
"BFA","Burkina Faso","trade_openness",40,0,0,0,1980,2019,"WAEMU"
"CIV","Côte d'Ivoire","trade_openness",40,0,0,0,1980,2019,"WAEMU"
"MLI","Mali","trade_openness",40,0,0,0,1980,2019,"WAEMU"
"NER","Niger","trade_openness",40,0,0,0,1980,2019,"WAEMU"
"SEN","Senegal","trade_openness",40,0,0,0,1980,2019,"WAEMU"
"TGO","Togo","trade_openness",40,0,0,0,1980,2019,"WAEMU"
