"outcome","treated_iso3c","treated_country","predictor","Treated","Synthetic","Sample Mean"
"MEU","CAF","Central African Republic","labour",39.547,32.112,36.628
"MEU","CAF","Central African Republic","polity2",-1.762,-1.145,1.286
"MEU","CAF","Central African Republic","special.outcome_selected.1981.2001",60.988,59.735,19.488
"MEU","CAF","Central African Republic","special.outcome_selected.1981",67.391,60.098,19.662
"MEU","CAF","Central African Republic","special.outcome_selected.1990",61.623,60.624,20.298
"MEU","CAF","Central African Republic","special.outcome_selected.1995",48.21,63.721,19.303
"MEU","CAF","Central African Republic","special.outcome_selected.2001",57.768,66.983,18.66
"MEU","TCD","Chad","agriculture",35.852,13.564,15.232
"MEU","TCD","Chad","govt_share",0.062,0.186,0.232
"MEU","TCD","Chad","invest_share",0.072,0.349,0.209
"MEU","TCD","Chad","oda_share",88735068.384,34860606.43,53508604.243
"MEU","TCD","Chad","fdi",2.89,1.407,3.111
"MEU","TCD","Chad","labour",38.914,31.932,36.628
"MEU","TCD","Chad","polity2",-2.667,-1.954,1.286
"MEU","TCD","Chad","special.outcome_selected.1981.2001",59.658,58.12,19.488
"MEU","TCD","Chad","special.outcome_selected.1981",51.287,58.259,19.662
"MEU","TCD","Chad","special.outcome_selected.1990",62.786,58.527,20.298
"MEU","TCD","Chad","special.outcome_selected.1995",61.529,61.244,19.303
"MEU","TCD","Chad","special.outcome_selected.2001",42.386,64.395,18.66
"MEU","COG","Republic of Congo","agriculture",9.751,13.512,15.232
"MEU","COG","Republic of Congo","govt_share",0.432,0.184,0.232
"MEU","COG","Republic of Congo","invest_share",0.175,0.38,0.209
"MEU","COG","Republic of Congo","oda_share",15661058.487,29977186.062,53508604.243
"MEU","COG","Republic of Congo","fdi",0.493,1.465,3.111
"MEU","COG","Republic of Congo","labour",32.101,32.152,36.628
"MEU","COG","Republic of Congo","polity2",-4.048,-0.964,1.286
"MEU","COG","Republic of Congo","special.outcome_selected.1981.2001",62.167,60.098,19.488
"MEU","COG","Republic of Congo","special.outcome_selected.1981",73.656,60.512,19.662
"MEU","COG","Republic of Congo","special.outcome_selected.1990",61.984,61.094,20.298
"MEU","COG","Republic of Congo","special.outcome_selected.1995",53.919,64.277,19.303
"MEU","COG","Republic of Congo","special.outcome_selected.2001",48.227,67.564,18.66
"MEU","GAB","Gabon","agriculture",7.637,13.445,15.232
"MEU","GAB","Gabon","govt_share",0.151,0.181,0.232
"MEU","GAB","Gabon","invest_share",0.118,0.419,0.209
"MEU","GAB","Gabon","oda_share",1900630.118,23714094.992,53508604.243
"MEU","GAB","Gabon","fdi",0.595,1.539,3.111
"MEU","GAB","Gabon","labour",30.527,32.435,36.628
"MEU","GAB","Gabon","polity2",-6.238,0.307,1.286
"MEU","GAB","Gabon","special.outcome_selected.1981.2001",64.464,62.635,19.488
"MEU","GAB","Gabon","special.outcome_selected.1981",68.259,63.399,19.662
"MEU","GAB","Gabon","special.outcome_selected.1990",66.022,64.387,20.298
"MEU","GAB","Gabon","special.outcome_selected.1995",60.336,68.166,19.303
"MEU","GAB","Gabon","special.outcome_selected.2001",59.809,71.627,18.66
"MEU","GNQ","Equatorial Guinea","agriculture",10.769,19.498,15.232
"MEU","GNQ","Equatorial Guinea","govt_share",0.392,0.18,0.232
"MEU","GNQ","Equatorial Guinea","invest_share",0.103,0.434,0.209
"MEU","GNQ","Equatorial Guinea","oda_share",13316174.537,19317696.546,53508604.243
"MEU","GNQ","Equatorial Guinea","fdi",26.046,1.733,3.111
"MEU","GNQ","Equatorial Guinea","labour",32.469,35.651,36.628
"MEU","GNQ","Equatorial Guinea","polity2",-6.429,0.593,1.286
"MEU","GNQ","Equatorial Guinea","special.outcome_selected.1981.2001",54.61,53.844,19.488
"MEU","GNQ","Equatorial Guinea","special.outcome_selected.1981",91.803,57.437,19.662
"MEU","GNQ","Equatorial Guinea","special.outcome_selected.1990",49.727,56.323,20.298
"MEU","GNQ","Equatorial Guinea","special.outcome_selected.1995",69.8,59.271,19.303
"MEU","GNQ","Equatorial Guinea","special.outcome_selected.2001",42.69,62.223,18.66
"trade_openness","BEN","Benin","agriculture",32.7,18.035,16.152
"trade_openness","BEN","Benin","govt_share",0.173,0.204,0.22
"trade_openness","BEN","Benin","invest_share",0.132,0.146,0.245
"trade_openness","BEN","Benin","oda_share",58008396.331,127690570.363,65766998.595
"trade_openness","BEN","Benin","fdi",-0.108,2.204,2.138
"trade_openness","BEN","Benin","labour",35.415,35.282,33.427
"trade_openness","BEN","Benin","polity2",0.095,1.382,1.298
"trade_openness","BEN","Benin","special.outcome_selected.1981.2001",53.134,53.137,79.393
"trade_openness","BEN","Benin","special.outcome_selected.1981",59.889,54.156,81.534
"trade_openness","BEN","Benin","special.outcome_selected.1990",45.72,51.043,72.185
"trade_openness","BEN","Benin","special.outcome_selected.1995",63.8,56.858,75.835
"trade_openness","BEN","Benin","special.outcome_selected.2001",48.257,55.328,96.718
"trade_openness","BFA","Burkina Faso","agriculture",29.972,21.116,16.152
"trade_openness","BFA","Burkina Faso","govt_share",0.116,0.174,0.22
"trade_openness","BFA","Burkina Faso","invest_share",0.152,0.15,0.245
"trade_openness","BFA","Burkina Faso","oda_share",125622814.421,248985595.269,65766998.595
"trade_openness","BFA","Burkina Faso","fdi",0.236,0.947,2.138
"trade_openness","BFA","Burkina Faso","labour",44.33,32.598,33.427
"trade_openness","BFA","Burkina Faso","polity2",-5.524,-1.464,1.298
"trade_openness","BFA","Burkina Faso","special.outcome_selected.1981.2001",36.779,37.191,79.393
"trade_openness","BFA","Burkina Faso","special.outcome_selected.1981",40.712,37.68,81.534
"trade_openness","BFA","Burkina Faso","special.outcome_selected.1990",35.423,36.536,72.185
"trade_openness","BFA","Burkina Faso","special.outcome_selected.1995",40.747,40.258,75.835
"trade_openness","BFA","Burkina Faso","special.outcome_selected.2001",31.658,42.171,96.718
"trade_openness","CIV","Côte d'Ivoire","agriculture",24.739,12.473,16.152
"trade_openness","CIV","Côte d'Ivoire","govt_share",0.19,0.192,0.22
"trade_openness","CIV","Côte d'Ivoire","invest_share",0.069,0.18,0.245
"trade_openness","CIV","Côte d'Ivoire","oda_share",62006783.003,46009060.634,65766998.595
"trade_openness","CIV","Côte d'Ivoire","fdi",1.084,1.352,2.138
"trade_openness","CIV","Côte d'Ivoire","labour",32.908,29.223,33.427
"trade_openness","CIV","Côte d'Ivoire","polity2",-6.238,-3.741,1.298
"trade_openness","CIV","Côte d'Ivoire","special.outcome_selected.1981.2001",63.619,63.738,79.393
"trade_openness","CIV","Côte d'Ivoire","special.outcome_selected.1981",77.459,75.42,81.534
"trade_openness","CIV","Côte d'Ivoire","special.outcome_selected.1990",58.801,65.171,72.185
"trade_openness","CIV","Côte d'Ivoire","special.outcome_selected.1995",76.202,62.99,75.835
"trade_openness","CIV","Côte d'Ivoire","special.outcome_selected.2001",53.114,62.947,96.718
"trade_openness","MLI","Mali","agriculture",35.121,19.346,16.152
"trade_openness","MLI","Mali","govt_share",0.276,0.182,0.22
"trade_openness","MLI","Mali","invest_share",0.103,0.168,0.245
"trade_openness","MLI","Mali","oda_share",128499263.951,186681104.708,65766998.595
"trade_openness","MLI","Mali","fdi",0.743,0.809,2.138
"trade_openness","MLI","Mali","labour",30.635,31.26,33.427
"trade_openness","MLI","Mali","polity2",-1.238,-2.754,1.298
"trade_openness","MLI","Mali","special.outcome_selected.1981.2001",40.778,40.869,79.393
"trade_openness","MLI","Mali","special.outcome_selected.1981",28.565,41.45,81.534
"trade_openness","MLI","Mali","special.outcome_selected.1990",38.46,41.543,72.185
"trade_openness","MLI","Mali","special.outcome_selected.1995",45.081,43.214,75.835
"trade_openness","MLI","Mali","special.outcome_selected.2001",49.324,46.618,96.718
"trade_openness","NER","Niger","agriculture",35.395,19.246,16.152
"trade_openness","NER","Niger","govt_share",0.246,0.184,0.22
"trade_openness","NER","Niger","invest_share",0.126,0.153,0.245
"trade_openness","NER","Niger","oda_share",107937703.746,197821555.596,65766998.595
"trade_openness","NER","Niger","fdi",0.26,1.16,2.138
"trade_openness","NER","Niger","labour",41.966,32.854,33.427
"trade_openness","NER","Niger","polity2",-1.81,-1.909,1.298
"trade_openness","NER","Niger","special.outcome_selected.1981.2001",39.526,40.936,79.393
"trade_openness","NER","Niger","special.outcome_selected.1981",60.357,42.635,81.534
"trade_openness","NER","Niger","special.outcome_selected.1990",35.617,40.42,72.185
"trade_openness","NER","Niger","special.outcome_selected.1995",34.778,42.642,75.835
"trade_openness","NER","Niger","special.outcome_selected.2001",33.014,45.461,96.718
"trade_openness","SEN","Senegal","agriculture",18.993,14.824,16.152
"trade_openness","SEN","Senegal","govt_share",0.196,0.212,0.22
"trade_openness","SEN","Senegal","invest_share",0.062,0.159,0.245
"trade_openness","SEN","Senegal","oda_share",70979836.861,73834998.258,65766998.595
"trade_openness","SEN","Senegal","fdi",0.617,1.779,2.138
"trade_openness","SEN","Senegal","labour",32.619,34.005,33.427
"trade_openness","SEN","Senegal","polity2",-0.143,-2.296,1.298
"trade_openness","SEN","Senegal","special.outcome_selected.1981.2001",49.598,49.874,79.393
"trade_openness","SEN","Senegal","special.outcome_selected.1981",65.852,54.054,81.534
"trade_openness","SEN","Senegal","special.outcome_selected.1990",44.789,49.72,72.185
"trade_openness","SEN","Senegal","special.outcome_selected.1995",52.725,48.635,75.835
"trade_openness","SEN","Senegal","special.outcome_selected.2001",49.721,52.794,96.718
"trade_openness","TGO","Togo","agriculture",23.36,13.996,16.152
"trade_openness","TGO","Togo","govt_share",0.162,0.18,0.22
